T,genre_id,genre_name,n_real,n_fake,FAD,
32,-1,ALL,800,800,6.794057319,
32,0,classical,200,200,10.3378614,
32,1,jazz,200,200,9.028257633,
32,2,rock,200,200,7.224789974,
32,3,pop,200,200,10.06029316,
64,-1,ALL,800,800,6.58082275,
64,0,classical,200,200,8.10998007,
64,1,jazz,200,200,7.71772709,
64,2,rock,200,200,9.77549424,
64,3,pop,200,200,7.92844445,
128,-1,ALL,800,800,12.5468499,
128,0,classical,200,200,15.3756279,
128,1,jazz,200,200,13.6293434,
128,2,rock,200,200,13.9245837,
128,3,pop,200,200,14.450784,
128,-1,ALL,800,800,11.02087406,morepochs
128,0,classical,200,200,14.54153482,morepochs
128,1,jazz,200,200,12.9509234,morepochs
128,2,rock,200,200,12.89523494,morepochs
128,3,pop,200,200,11.20459025,morepochs
